,Closest_neigh,Index_o_CN
0,4.5,1
1,4.5,0
2,1.7,4
3,4.1,2
4,1.7,2
5,4.0,8
6,2.5,10
7,2.9,6
8,3.9,6
9,2.6,10
10,2.5,6
11,2.8,9
12,3.1,9
13,2.1,16
14,2.8,13
15,2.9,17
16,2.0,44
17,2.9,15
18,2.4,16
19,2.9,9
20,3.1,21
21,3.1,20
22,2.4,18
23,3.5,20
24,2.7,39
25,3.7,9
26,3.7,16
27,2.0,28
28,2.0,27
29,-0.4,30
30,-0.4,29
31,1.8,32
32,1.8,31
33,3.1,31
34,2.8,154
35,3.3,9
36,4.0,31
37,3.9,488
38,3.4,39
39,2.7,24
40,-0.0,41
41,-0.0,40
42,-0.2,43
43,-0.2,42
44,1.8,41
45,2.2,41
46,2.8,41
47,2.8,49
48,2.5,41
49,2.8,47
50,3.1,41
51,3.2,40
52,2.7,41
53,-2.1,54
54,-2.1,53
55,2.3,53
56,-1.6,57
57,-1.6,56
58,3.0,41
59,3.9,41
60,3.3,41
61,3.8,41
62,1.8,41
63,2.5,64
64,2.5,63
65,2.0,41
66,3.6,41
67,3.9,68
68,2.0,41
69,3.6,68
70,3.3,41
71,2.3,72
72,2.3,71
73,2.2,202
74,2.3,87
75,3.7,73
76,3.5,33
77,4.1,75
78,3.7,73
79,3.3,80
80,2.6,85
81,2.9,80
82,4.0,73
83,-1.8,84
84,-1.8,83
85,2.5,84
86,2.8,41
87,2.3,74
88,3.3,121
89,4.0,88
90,4.0,41
91,3.3,92
92,2.9,19
93,3.3,94
94,3.1,87
95,1.6,97
96,3.2,73
97,1.6,95
98,3.3,97
99,3.1,100
100,3.1,99
101,2.7,103
102,2.0,97
103,2.2,104
104,2.0,105
105,2.0,104
106,3.7,107
107,3.6,241
108,2.2,110
109,1.8,110
110,1.8,109
111,3.2,113
112,3.2,113
113,2.8,114
114,2.8,113
115,2.7,120
116,3.2,96
117,3.3,487
118,-1.2,119
119,-1.2,118
120,2.7,115
121,2.9,124
122,1.6,123
123,1.6,122
124,0.5,126
125,-0.3,126
126,-0.3,125
127,2.5,174
128,3.5,124
129,3.3,132
130,1.1,124
131,3.3,71
132,3.2,116
133,3.7,124
134,2.8,143
135,2.3,226
136,3.5,127
137,1.3,138
138,1.3,137
139,2.7,137
140,2.8,137
141,2.7,137
142,2.3,137
143,2.7,142
144,3.6,137
145,3.1,246
146,3.2,145
147,1.4,148
148,1.4,147
149,2.0,124
150,2.6,149
151,3.0,137
152,3.5,179
153,2.1,155
154,0.7,155
155,0.7,154
156,2.6,153
157,2.7,159
158,2.4,163
159,2.7,157
160,1.8,124
